trial,step,value
0,0,0.20356770750566922
0,1,0.19308628769245417
0,2,0.049485870831019074
0,3,0.0025858939398345493
0,4,0.002014788161941561
0,5,0.0013104478319954094
0,6,0.0012798940074398857
0,7,0.0006208092016504185
0,8,0.0006299844814007249
0,9,1.3267702432040451e-05
0,10,0.0006202994688317975
0,11,0.0006875887018353843
0,12,0.0006478257859612313
0,13,4.9500529451629305e-05
0,14,0.0006264162970121001
1,0,0.2057227652878032
1,1,0.19801970324480833
1,2,0.20069723427197805
1,3,0.12259395639637338
1,4,0.050485519873669116
1,5,0.006483638400267999
1,6,0.0014698673325314049
1,7,0.0002871202451929511
1,8,0.0013728343744922045
1,9,0.0007951683625316841
1,10,0.0012473053260289024
1,11,0.0019303389966627282
1,12,6.48109637696459e-05
1,13,2.908734623896514e-05
1,14,0.0002628681621739126
2,0,0.20915096327831617
2,1,0.12966184293427008
2,2,0.011721444093176991
2,3,0.000641708695415466
2,4,0.0012829493055942498
2,5,0.0025162804965849217
2,6,0.001254943107013573
2,7,0.00010564108060107102
2,8,0.0006985495496342198
2,9,0.0013104478319954094
2,10,0.002511199605472081
2,11,0.002584623534114594
2,12,7.680446476354685e-05
2,13,0.0012954253008148342
2,14,0.0006152021692749088
3,0,0.20677287675129374
3,1,0.02272753949248474
3,2,0.003156700990332828
3,3,0.0012437410682998307
3,4,0.001408232661113673
3,5,3.4190563914626715e-05
3,6,2.1942928993157196e-05
3,7,0.000617750812546447
3,8,0.0006101049217716037
3,9,0.0012361034590160358
3,10,0.0013985551819499786
3,11,8.67499636414415e-06
3,12,3.980416351545557e-05
3,13,0.0006085757576710371
3,14,7.093526876056355e-05
4,0,0.19861430826738125
4,1,0.020920494205092788
4,2,0.0019776491125058637
4,3,0.0012875322879507545
4,4,0.0030064885321010593
4,5,0.0012829493055942498
4,6,0.0007604956082677417
4,7,0.00010206831227999036
4,8,3.3169916212716366e-05
4,9,0.00036396882221623184
4,10,0.000246020038893624
4,11,6.149366321839267e-05
4,12,7.144103716050232e-06
4,13,8.419847263962943e-06
4,14,9.44044444584069e-06
5,0,0.20758398740595796
5,1,0.13443575123418805
5,2,0.03299316189222934
5,3,0.0024852878693991665
5,4,0.00015004761715198267
5,5,0.000657511332639471
5,6,7.654400744572243e-06
5,7,0.0006177508125465581
5,8,0.0012269384824015184
6,0,0.19352315706856094
6,1,0.1825872816248132
6,2,0.019856644915586696
6,3,4.0314493876980606e-05
6,4,0.001206063331601892
6,5,1.7350143240668636e-05
6,6,0.00010155791888943888
6,7,1.479861382913672e-05
6,8,2.1432617381855756e-05
6,9,5.894190853894532e-05
6,10,0.00011074507962671731
6,11,2.245324112537528e-05
6,12,0.0002580178866881111
6,13,0.00024704112111761933
6,14,0.0002526571106133968
7,0,0.19824649805295447
7,1,0.13125893666235966
7,2,0.0018871025032134447
7,3,0.0014415959377973575
7,4,2.7556391092531385e-05
7,5,0.0012804032224981166
7,6,0.0018036921228560265
7,7,0.002743703600914804
7,8,4.082332481503137e-06
7,9,0.0011963897777734767
7,10,0.0011999536968078095
7,11,0.0005988911604896119
7,12,5.102920809796352e-06
7,13,7.654400744572243e-06
7,14,5.102897373543414e-07
8,0,0.2074863398255259
8,1,0.1299720818151684
8,2,0.03602270822877185
8,3,0.010570329086395103
8,4,0.007330646884170622
9,0,0.21659745118201923
9,1,0.19927631109508215
9,2,0.15188458433750895
9,3,0.12256950520541132
9,4,0.05274286681274043
9,5,0.018459748691412314
9,6,0.0009713737562561109
9,7,0.00030703336097404055
9,8,0.0015872999278844224
10,0,0.19735086063478036
10,1,0.201359025156303
10,2,0.19922475672087225
10,3,0.12482506619922362
10,4,0.11115170394612961
11,0,0.20680832760984968
11,1,0.007192145587666565
11,2,0.003409018236952388
11,3,0.0015325285718350568
11,4,0.001304591537165778
11,5,0.0007242957433765129
11,6,9.696440181639066e-05
11,7,0.00016051180042442326
11,8,0.00013728671437163165
12,0,0.20787603530442167
12,1,0.049433051713570486
12,2,0.0012187919780372036
12,3,0.0038813475231459504
12,4,0.006001551000372807
13,0,0.21350684609814996
13,1,0.2032282378382002
13,2,0.09567940487588633
13,3,0.004332882486438594
13,4,0.0025203452469044763
13,5,0.003959446534517186
13,6,3.265959314324718e-05
13,7,6.12351122131205e-06
13,8,0.0006315137110901592
14,0,0.1292103499772449
14,1,0.014674955849781735
14,2,0.0014436334621714675
14,3,0.005027714532416461
14,4,0.0014061952814624634
14,5,0.004739404063391572
14,6,0.0015455203025045439
