parameter,importance
weight_decay,0.2492380788836537
lr,0.2289567191447817
dim1,0.13543668826624433
num_block3,0.10399742445859574
image_dim,0.09232319925118175
num_block2,0.06349943516155523
num_block1,0.042216287441723545
linear_dim,0.037276722384008594
num_block4,0.025307042680876166
patch_size,0.01466402568016909
expansion_ratio,0.007084376647210236
